inn_norm,CompanyName,ext_company_name_short,ext_company_name_full,ext_company_name_norm,ext_ogrn,ext_region_name,ext_okved_main,ext_okved_main_name,has_external_data,ext_has_finance_data,ext_has_tax_data,ext_has_staff_data,ext_has_risk_indexes,ext_has_arbitration_data,ext_has_execution_data,ext_fin_year,ext_fin_revenue,ext_fin_net_profit,ext_fin_assets_total,ext_fin_equity,ext_roa,ext_roe,ext_net_margin,ext_current_ratio,ext_debt_to_assets,ext_tax_year,ext_tax_total_last_year,ext_insurance_contrib_total,ext_staff_year,ext_staff_number,ext_revenue_per_employee,ext_insurance_contrib_per_employee,ext_risk_consolidated_value,ext_risk_consolidated_description,ext_failure_score,ext_failure_score_description,ext_payment_index,ext_payment_index_description,ext_arbitration_defendant_cases_all,ext_arbitration_defendant_cases_last3,ext_arbitration_defendant_cases_last5,ext_arbitration_defendant_sum_all,ext_arbitration_defendant_sum_last3,ext_arbitration_defendant_sum_last5,ext_arbitration_defendant_cases_all_per_bln_revenue,ext_arbitration_defendant_cases_last3_per_bln_revenue,ext_arbitration_defendant_cases_last5_per_bln_revenue,ext_arbitration_defendant_sum_all_to_revenue,ext_arbitration_defendant_sum_all_to_assets,ext_execution_active_per_bln_revenue,ext_execution_executed_per_bln_revenue,ext_execution_total_known_per_bln_revenue,INN,RAEX_E_Rank,RAEX_S_Rank,RAEX_G_Rank,RAEX_ESG_Rank,RAEX_E,RAEX_S,RAEX_G,RAEX_ESG,EKG_ESG,FORBES_ESG,FORBES_E,FORBES_S,FORBES_G,NKR_RBC_LEVEL,RSPP_OO,RSPP_VECTOR,AKRA_ESG,ext_inn,ext_kpp,ext_spark_id,ext_registration_date,ext_is_acting,ext_status_type,ext_region_code,ext_okopf_name,ext_website,ext_email,ext_staff_change_pct_available,ext_arbitration_total_attr,ext_execution_proceedings_active,ext_execution_proceedings_executed,ext_parse_error,ext_file_name,ext_company_type,ext_status_code,ext_status_group,ext_status_date,ext_okpo,ext_fcsm_code,ext_rts_ticker,ext_okato_code,ext_okopf_code,ext_okfs_code,ext_okfs_name,ext_okved_count,ext_okved_codes_all,ext_legal_address,ext_legal_address_region,ext_legal_address_city,ext_longitude,ext_latitude,ext_charter_capital,ext_company_size_revenue_mln,ext_company_size_description,ext_company_size_actual_date,ext_due_diligence_index,ext_due_diligence_description,ext_credit_limit_value,ext_credit_limit_description,ext_fin_noncurrent_assets,ext_fin_fixed_assets,ext_fin_current_assets,ext_fin_inventories,ext_fin_accounts_receivable,ext_fin_cash_and_equivalents,ext_fin_long_term_debt,ext_fin_long_term_liabilities,ext_fin_short_term_debt,ext_fin_accounts_payable,ext_fin_short_term_liabilities,ext_fin_liabilities_and_equity_total,ext_fin_cost_of_sales,ext_fin_sales_profit,ext_fin_profit_before_tax,ext_finance_years_available,ext_finance_years_count,ext_finance_has_target_year,ext_sales_margin,ext_debt_to_equity,ext_accounts_payable_to_revenue,ext_accounts_receivable_to_revenue,ext_cash_to_assets,ext_revenue_cagr_available,ext_revenue_change_pct_last_period,ext_net_profit_change_pct_last_period,ext_tax_vat_last_year,ext_tax_profit_last_year,ext_tax_property_last_year,ext_tax_transport_last_year,ext_tax_land_last_year,ext_fts_income_last_year,ext_fts_expenses_last_year,ext_tax_years_available,ext_tax_years_count,ext_staff_source,ext_staff_years_available,ext_staff_years_count,ext_staff_change_abs_available,ext_staff_change_pct_last_period,ext_arbitration_considered_attr,ext_arbitration_appealed_attr,ext_arbitration_decisions_attr,ext_arbitration_completed_attr,ext_arbitration_years_available,ext_arbitration_years_count,ext_arbitration_plaintiff_cases_all,ext_arbitration_third_cases_all,ext_arbitration_plaintiff_sum_all,ext_arbitration_plaintiff_cases_last3,ext_arbitration_plaintiff_sum_last3,ext_arbitration_plaintiff_cases_last5,ext_arbitration_plaintiff_sum_last5,ext_arbitration_third_sum_all,ext_execution_proceedings_total_known,ext_leaders_count,ext_current_leaders_count,ext_current_leader_name,ext_current_leader_position,ext_has_board_of_directors,ext_board_of_directors_actual_date,ext_has_executive_body,ext_executive_body_actual_date,ext_has_persons_without_warrant,ext_persons_without_warrant_actual_date,ext_state_contracts_items_count,ext_include_in_list_items_count,ext_tax_per_employee,ext_tax_to_revenue,ext_insurance_contrib_to_revenue,ext_arbitration_defendant_sum_last3_to_revenue,ext_arbitration_defendant_sum_last5_to_revenue,ext_arbitration_defendant_cases_all_per_1000_employees,ext_arbitration_defendant_cases_last3_per_1000_employees,ext_execution_active_per_1000_employees,ext_execution_executed_per_1000_employees,_merge
200626188,Узтрансгаз,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200626188,76.0,84.0,111.0,91.0,CC,CCC,CCC,CCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
200837914,Узбекнефтегаз,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200837914,100.0,55.0,85.0,77.0,C,B,B,CCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
201204514,Навоийский горно-металлургический комбинат,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201204514,38.0,28.0,36.0,32.0,B,BBB,BBB,BB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
268008010,Башкирская содовая компания,"АО ""БСК""","АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАШКИРСКАЯ СОДОВАЯ КОМПАНИЯ""","БСК, АО",1020202079479.0,Башкортостан (Республика),20.13,Производство прочих основных неорганических химических веществ,1,1.0,0.0,1.0,1.0,1.0,1.0,2025.0,58239127000.0,3914822000.0,75489574000.0,36031337000.0,0.0518591083849539,0.1086504783322361,0.0672197919450269,0.3119035372040705,0.3408147196591677,,,,2021.0,8207.0,7096274.765444133,,Low,Низкий риск,13.0,Низкий риск,77.0,Средний риск просрочки платежа,73.0,28.0,32.0,288160674.0,12300298.0,13606037.0,1.2534528548135688,0.4807764374627387,0.5494587856717014,0.0049478879379493,0.0038172247998114,0.0,1.4251587253359754,1.4251587253359754,268008010,107.0,78.0,141.0,118.0,C,CCC,C,CC,,,,,,,,,,268008010.0,26801001.0,2473.0,1991-12-10,True,Действующее,80.0,Непубличные акционерные общества,https://www.soda.ru/ru/,fattakhova.ev@ruschem.ru,-0.0622714808043875,454.0,0.0,83.0,,268008010.xml,1.0,24.0,Действующее,2026-04-24,203312.0,01068-K,,80445000000.0,12267.0,49.0,Иная смешанная российская собственность,69.0,20.13;08.93;10.89.9;16.10;16.10.9;16.23.1;16.23.2;17.21;20.11;20.14;20.16;20.41;22.21;22.22;22.23;22.29.2;24.51;24.54;25.12;25.61;25.62;25.94;25.99.29;28.29.1;30.20.9;32.12.1;33.12;33.17;35.11.1;35.12;35.13;35.21;35.22;35.30.14;35.30.3;36.00.2;37.00;38.1;38.2;38.32.3;41.20;42.21;42.22.2;42.91.2;46.72;46.75.2;46.90;47.11.1;47.11.2;47.19;49.20;49.41.1;49.41.2;52.10;52.23.22;61.10.1;68.10.21;68.10.22;68.20.1;68.20.2;71.12.3;71.20;71.20.1;72.19;84.25.1;85.42;85.42.9;93.11;93.19,"453110, РЕСПУБЛИКА БАШКОРТОСТАН, Г.О. ГОРОД СТЕРЛИТАМАК, Г СТЕРЛИТАМАК, УЛ ТЕХНИЧЕСКАЯ, Д. 32",Башкортостан респ.,г. Стерлитамак,55.93174,53.66982,165664800.0,58239.1,Крупные предприятия,2025-12-31,1.0,Низкий риск,,"Расчет кредитного лимита не осуществляется для следующих категорий юридических лиц: Унитарные предприятия, находящиеся в федеральной или муниципальной собственности; Банки; Страховые компании; Некоммерческие организации; Организации без прав юридического лица, а также для эмитентов, чьи акции обращаются на бирже.",66256307000.0,33615942000.0,9233267000.0,7099108000.0,1796895000.0,70545000.0,4181385000.0,9855280000.0,21546573000.0,7049859000.0,29602957000.0,75489574000.0,41799493000.0,9197208000.0,5783956000.0,"2021,2022,2023,2024,2025",5.0,0.0,0.1579214606015643,0.7140439445807965,0.1210502176655223,0.030853742021236,0.0009344999085569,-0.0030531906600373,-0.0454731821310032,-0.1506111863626432,,,,,,,,,0.0,StaffNumberDisclosure,"2018,2019,2020,2021",4.0,-545.0,-0.0218116805721096,20.0,3.0,2.0,429.0,"2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026",22.0,324.0,64.0,5845649248.0,51.0,455410176.0,91.0,654723628.0,,83.0,10.0,1.0,Давыдов Эдуард Маликович,генеральный директор,1.0,2022-06-30,1.0,2022-06-30,0.0,,2.0,9.0,,,,0.0002112033375775,0.0002336236427445,8.894845863287438,3.4117217009869623,0.0,10.11331789935421,both
276143694,Башкирская электросетевая компания (БЭСК),"АО ""БЭСК""","АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАШКИРСКАЯ ЭЛЕКТРОСЕТЕВАЯ КОМПАНИЯ""","БЭСК, АО",1120280043036.0,Башкортостан (Республика),70.10,Деятельность головных офисов,1,1.0,1.0,1.0,1.0,1.0,1.0,2025.0,274653000.0,503582000.0,13784715000.0,13658327000.0,0.0365319123391379,0.0368699621849733,1.833520842663288,7.712093126714614,,2025.0,119735294.47,29840674.47,2025.0,49.0,5605163.265306123,608993.3565306122,Low,Низкий риск,14.0,Низкий риск,,,24.0,4.0,5.0,73614585.0,9933069.0,9933069.0,87.38298871667159,14.563831452778595,18.204789315973247,0.2680276021015609,0.0053403051858525,0.0,18.204789315973247,18.204789315973247,276143694,126.0,118.0,78.0,109.0,C,CC,B,CC,,,,,,,,,,276143694.0,27601001.0,1983111.0,2012-11-06,True,Действующее,80.0,Непубличные акционерные общества,http://www.bashes.ru/,,-0.7262569832402235,81.0,0.0,5.0,,276143694.xml,1.0,24.0,Действующее,2026-04-24,12690279.0,55516-E,,80401384000.0,12267.0,16.0,Частная собственность,8.0,70.10;35.12;35.13;61.10;61.10.1;68.20.2;68.20.29;70.10.2,"450096, РЕСПУБЛИКА БАШКОРТОСТАН, Г. УФА, УЛ. КОМСОМОЛЬСКАЯ, Д.126",Башкортостан респ.,г. Уфа,56.011374,54.756249,546364243.0,274.7,Малые предприятия,2025-12-31,1.0,Низкий риск,,Недостаточно данных для расчета кредитного лимита,13056624000.0,143095000.0,728091000.0,1094000.0,662881000.0,63972000.0,,31979000.0,,66465000.0,94409000.0,13784715000.0,171487000.0,103166000.0,538355000.0,"2021,2022,2023,2024,2025",5.0,0.0,0.3756230589143391,,0.2419962643772323,2.413521789312332,0.0046407923558811,-0.2165208188935357,-0.0026399883796935,-0.5639552302131985,49967132.0,37556315.0,2300014.0,71159.0,,,,"2018,2019,2020,2021,2022,2023,2024,2025",8.0,StaffNumberFTS,"2018,2019,2020,2021,2022,2023,2024,2025",8.0,-130.0,0.0425531914893617,4.0,0.0,0.0,77.0,"2006,2010,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2026",16.0,24.0,35.0,3591388.0,1.0,,3.0,,,5.0,4.0,1.0,Пискунов Анатолий Николаевич,председатель правления-генеральный директор,1.0,2021-12-31,1.0,2024-12-31,1.0,2024-04-16,1.0,1.0,2443577.438163265,0.4359511619024733,0.1086486383545783,0.036165885681205,0.036165885681205,489.7959183673469,81.63265306122449,0.0,102.04081632653062,both
304952767,Узбекгидроэнерго,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304952767,44.0,21.0,82.0,52.0,CCC,BBB,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
411075740,"Промышленно-металлургический холдинг, Управляющая компания, ООО","ООО УК ""ПМХ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ УПРАВЛЯЮЩАЯ КОМПАНИЯ ""ПРОМЫШЛЕННО-МЕТАЛЛУРГИЧЕСКИЙ ХОЛДИНГ""","ПМХ, ООО УК",1027739076089.0,Москва,70.10,Деятельность головных офисов,1,1.0,1.0,1.0,1.0,1.0,1.0,2022.0,2764430000.0,-443877000.0,923171000.0,-116093000.0,-0.4808177466579864,3.823460501494492,-0.1605672778836867,0.2550674991868829,,2021.0,899281356.65,361934966.65,2021.0,357.0,7743501.400560224,1013823.4359943978,Medium,Средний риск,39.0,Средний риск,80.0,Низкий риск просрочки платежа,11.0,,1.0,8497995211.0,,43774634.0,3.979120469680911,,0.3617382245164464,3.0740496995764044,9.20522331290736,0.0,4.702596918713804,4.702596918713804,411075740,,,,,,,,,,серебро,бронза,серебро,платина,,,,,411075740.0,772501001.0,505557.0,2000-01-26,True,Действующее,45.0,Общества с ограниченной ответственностью,www.metholding.ru,mts@metholding.com,0.6081081081081081,26.0,0.0,13.0,,411075740.xml,1.0,24.0,Действующее,2026-04-24,49585437.0,,,45296561000.0,12300.0,16.0,Частная собственность,19.0,70.10;33.17;46.12;46.72.21;46.72.22;52.21;62.01;62.02;63.11;63.99;64.30;69.10;70.10.2;70.21;70.22;73.11;73.12;73.20;74.90,"115419, Г.МОСКВА, ПР-Д 2-Й ВЕРХНИЙ МИХАЙЛОВСКИЙ, Д. 9",г. Москва,г. Москва,37.601681,55.708727,50000.0,,,,2.0,Низкий риск,,Недостаточно данных для расчета кредитного лимита,740446000.0,423330000.0,182725000.0,,106765000.0,38861000.0,,322884000.0,,536217000.0,716379000.0,923171000.0,,-67008000.0,-420947000.0,"2018,2019,2020,2021,2022",5.0,0.0,-0.024239354948398,,0.1939701855355353,0.0386209815404984,0.0420951264716937,0.0180256314318203,-0.0070636932059814,-0.1203772328594472,497462837.0,38146942.0,,1736611.0,,2852050000.0,3273499000.0,"2017,2018,2019,2020,2021",5.0,StaffNumberFTS,"2017,2018,2019,2020,2021",5.0,135.0,0.0377906976744186,0.0,0.0,0.0,26.0,"2009,2010,2014,2015,2016,2017,2019,2020,2021,2022,2023,2025",12.0,4.0,12.0,10003549.0,,,,,,13.0,2.0,1.0,Зубицкий Евгений Борисович,президент,0.0,,1.0,2022-12-31,1.0,2018-04-10,0.0,0.0,2518995.396778712,0.3253044412953122,0.1309257122263902,,0.0158349583820172,30.81232492997199,,0.0,36.41456582633054,both
1121003135,"Сыктывкарский ЛПК (СЛПК), АО","АО ""СЛПК""","АКЦИОНЕРНОЕ ОБЩЕСТВО ""СЫКТЫВКАРСКИЙ ЛПК""","СЛПК, АО",1021101121194.0,Коми (Республика),17.12,Производство бумаги и картона,1,1.0,0.0,1.0,1.0,1.0,1.0,2025.0,82921427000.0,9797883000.0,113828842000.0,26125829000.0,0.0860755747651372,0.3750266833638083,0.1181586395033939,0.6486177909322016,0.5054711792640393,,,,2021.0,4473.0,18538213.056114465,,Low,Низкий риск,24.0,Низкий риск,96.0,Низкий риск просрочки платежа,224.0,45.0,94.0,523470222.0,35334475.0,167460672.0,2.7013524501936037,0.5426824118692507,1.1336032603491013,0.0063128462803709,0.0045987485491594,0.01205960915265,1.9777759010346023,1.9898355101872525,1121003135,,,,,,,,,BBB,,,,,,,,,1121003135.0,112101001.0,4458.0,1992-12-04,True,Действующее,87.0,Непубличные акционерные общества,https://sonoragroup.ru/,info@mondislpk.com,0.0138259292837715,690.0,1.0,164.0,,1121003135.xml,1.0,24.0,Действующее,2026-04-24,279404.0,00159-A,NZDS,87401365000.0,12267.0,34.0,Совместная частная и иностранная собственность,43.0,17.12;02.10;02.10.1;02.20;02.40;17.11;23.52.1;35.11.1;35.11.4;35.30.13;36.00;37.00;41.2;42.13;42.99;45.20.1;45.20.2;46.71;46.76.1;46.90;49.20;49.39.13;49.41.1;52.10;52.10.21;52.24;52.29;55.10;55.20;55.90;68.20.2;71.11;77.32;77.39.11;77.39.29;85.30;85.41.91;85.42;86.21;86.90.4;93.11;93.19;93.29,"167026, РЕСПУБЛИКА КОМИ, Г. СЫКТЫВКАР, ПР-КТ БУМАЖНИКОВ, Д. 2",Коми респ.,г. Сыктывкар,50.737944,61.81539,381776400.0,82921.4,Крупные предприятия,2025-12-31,1.0,Низкий риск,10497680000.0,,63090295000.0,59466428000.0,50738547000.0,8940502000.0,10482017000.0,5641587000.0,,9477365000.0,57537199000.0,19438536000.0,78225648000.0,113828842000.0,45062805000.0,21601139000.0,13200478000.0,"2021,2022,2023,2024,2025",5.0,0.0,0.2605012935920652,2.202310939109339,0.2344211466597168,0.126409028151433,0.0495620169798441,0.0381508214944192,-0.0192677455284872,-0.6076656512221312,,,,,,,,,0.0,StaffNumberDisclosure,"2010,2011,2012,2013,2014,2018,2019,2020,2021",9.0,61.0,-0.0079840319361277,53.0,3.0,12.0,622.0,"2005,2006,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026",21.0,358.0,111.0,2314313608.0,113.0,686468446.0,150.0,810303058.0,,165.0,14.0,3.0,Дружков Владимир Николаевич,генеральный директор,1.0,2022-12-31,1.0,2023-12-31,1.0,2025-04-21,2.0,4.0,,,,0.000426119958114,0.0020195102527601,50.07824726134585,10.060362173038229,0.223563603845294,36.664431030628215,both
1121016110,"АО ""СТГ""","АО ""СТГ""","АКЦИОНЕРНОЕ ОБЩЕСТВО ""СЫКТЫВКАР ТИССЬЮ ГРУП""","СТГ, АО",1071121000708.0,Коми (Республика),17.22,Производство бумажных изделий хозяйственно-бытового и санитарно-гигиенического назначения,1,1.0,1.0,1.0,1.0,1.0,1.0,2025.0,11382199000.0,1254624000.0,10790823000.0,6612280000.0,0.1162676841238152,0.1897415112487674,0.1102268551094564,3.2795172420046605,0.1927937285228383,2025.0,1686413780.4,419565804.4,2025.0,872.0,13052980.504587157,481153.445412844,Low,Низкий риск,20.0,Низкий риск,100.0,Низкий риск просрочки платежа,20.0,6.0,9.0,17055822.0,3772224.0,6756470.0,1.7571297075371817,0.5271389122611545,0.7907083683917316,0.0014984645761333,0.0015805858366873,0.0,0.8785648537685907,0.8785648537685907,1121016110,,,,,,,,,A,,,,,,,,,1121016110.0,112101001.0,1657994.0,2007-05-31,True,Действующее,87.0,Непубличные акционерные общества,www.sgbi.ru,mail@sgbi.ru,1.1012048192771084,93.0,0.0,10.0,,1121016110.xml,1.0,24.0,Действующее,2026-04-24,15093929.0,04238-D,,87401365000.0,12267.0,16.0,Частная собственность,8.0,17.22;17.12;38.32.52;46.76;46.90;52.29;56.29.2;68.20.29,"167026, РЕСПУБЛИКА КОМИ, Г. СЫКТЫВКАР, ПР-КТ БУМАЖНИКОВ, Д. 4",Коми респ.,г. Сыктывкар,50.734638,61.812995,112500000.0,11382.2,Крупные предприятия,2025-12-31,1.0,Низкий риск,1007490000.0,,4642348000.0,4445830000.0,6148475000.0,1700946000.0,1878425000.0,2551534000.0,1616170000.0,2303732000.0,464233000.0,1125181000.0,1874811000.0,10790823000.0,7525414000.0,1792981000.0,1718711000.0,"2021,2022,2023,2024,2025",5.0,0.0,0.1575250090074861,0.3146271785223856,0.0988544480728196,0.1650318185440265,0.2364540684246234,0.0993841295563922,0.0389379505111992,-0.0267147947226702,849035384.0,392762005.0,22709604.0,237635.0,962896.0,,,"2018,2019,2020,2021,2022,2023,2024,2025",8.0,StaffNumberFTS,"2011,2018,2019,2020,2021,2022,2023,2024,2025",9.0,457.0,0.0356294536817102,3.0,0.0,1.0,89.0,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",16.0,48.0,26.0,47050163.0,6.0,7839175.0,16.0,17817279.0,,10.0,4.0,1.0,Бабкин Константин Борисович,генеральный директор,1.0,2020-03-31,1.0,2020-03-31,1.0,2024-02-13,0.0,3.0,1933960.7573394496,0.1481623876370462,0.0368615769588987,0.0003314143426942,0.0005935997077541,22.93577981651376,6.8807339449541285,0.0,11.46788990825688,both
1215180595,"Трэвел Лайн Системс, ООО (Travel Line)","ООО ""ТРЭВЕЛ ЛАЙН СИСТЕМС""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРЭВЕЛ ЛАЙН СИСТЕМС""","ТРЭВЕЛ ЛАЙН СИСТЕМС, ООО",1141215003214.0,Марий Эл (Республика),72.19,Научные исследования и разработки в области естественных и технических наук прочие,1,1.0,1.0,1.0,1.0,1.0,1.0,2025.0,5771593000.0,2123726000.0,3458274000.0,3272299000.0,0.6140999816671554,0.6490012067968116,0.3679618434633211,13.974907642249816,,2025.0,377893393.38,178580948.38,2025.0,733.0,7873933.151432469,243630.21607094133,Low,Низкий риск,1.0,Низкий риск,80.0,Низкий риск просрочки платежа,8.0,4.0,5.0,181500.0,130000.0,180000.0,1.3860991237601126,0.6930495618800563,0.8663119523500704,3.144712387030756e-05,5.248282813912373e-05,0.0,0.6930495618800563,0.6930495618800563,1215180595,,,,,,,,,AA,серебро,бронза,золото,серебро,,,,,1215180595.0,121501001.0,9291395.0,2014-04-28,True,Действующее,88.0,Общества с ограниченной ответственностью,http://www.travelline.ru,dogovor@travelline.ru,4.817460317460317,12.0,0.0,4.0,,1215180595.xml,1.0,24.0,Действующее,2026-04-24,14470873.0,,,88401000000.0,12300.0,16.0,Частная собственность,3.0,72.19;62.01;62.02,"424031, РЕСПУБЛИКА МАРИЙ ЭЛ, Г.О. ГОРОД ЙОШКАР-ОЛА, Г. ЙОШКАР-ОЛА, УЛ. КОМСОМОЛЬСКАЯ, Д. 112",Марий Эл респ.,г. Йошкар-Ола,47.894838,56.639168,10000.0,5771.6,Крупные предприятия,2025-12-31,1.0,Низкий риск,1487940000.0,,1237759000.0,845695000.0,2220515000.0,16576000.0,466775000.0,1118064000.0,,27082000.0,,103710000.0,158893000.0,3458274000.0,1478169000.0,2001864000.0,2260402000.0,"2021,2022,2023,2024,2025",5.0,0.0,0.3468477420358642,,0.0179690425156451,0.0808745523116408,0.3233011612151032,0.4280833254543272,0.1800387240289346,0.1787626612612722,17655429.0,172086337.0,8794764.0,48993.0,726922.0,,,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9.0,StaffNumberFTS,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9.0,607.0,0.1880064829821718,0.0,0.0,0.0,12.0,"2019,2021,2024,2025",4.0,1.0,3.0,,,,,,,4.0,3.0,1.0,Галочкин Александр Владимирович,генеральный директор,0.0,,0.0,,1.0,2020-07-14,1.0,0.0,515543.51075034105,0.0654747126798442,0.0309413620087209,2.252411076110183e-05,3.1187230284602536e-05,10.914051841746248,5.457025920873124,0.0,5.457025920873124,both
