document_id,company_name,country,industry,source_path,source_language,file_format,document_type,review_status
DOC-0001,Astra Agro Lestari,Indonesia,Agriculture,Ethics_Codes_txt_files/Agriculture_Indonesia_Astra Agro Lestari_2023.txt,unknown (needs_manual_check),txt,code_of_ethics_or_conduct (needs_manual_check),not_started
DOC-0002,SMART,Indonesia,Agriculture,Ethics_Codes_txt_files/Agriculture_Indonesia_SMART_2021.txt,unknown (needs_manual_check),txt,code_of_ethics_or_conduct (needs_manual_check),not_started
DOC-0003,Great Wall Motor,China,Automotive,Ethics_Codes_txt_files/Automotive_China_Great Wall Motor_2024.txt,unknown (needs_manual_check),txt,code_of_ethics_or_conduct (needs_manual_check),not_started
DOC-0004,Li Auto,China,Automotive,Ethics_Codes_txt_files/Automotive_China_Li Auto_2024.txt,unknown (needs_manual_check),txt,code_of_ethics_or_conduct (needs_manual_check),not_started
DOC-0005,NIO,China,Automotive,Ethics_Codes_txt_files/Automotive_China_NIO_2022.txt,unknown (needs_manual_check),txt,code_of_ethics_or_conduct (needs_manual_check),not_started
DOC-0006,XPeng,China,Automotive,Ethics_Codes_txt_files/Automotive_China_XPeng_2024.txt,unknown (needs_manual_check),txt,code_of_ethics_or_conduct (needs_manual_check),not_started
DOC-0007,Astra Otoparts,Indonesia,Automotive,Ethics_Codes_txt_files/Automotive_Indonesia_Astra Otoparts_2018.txt,unknown (needs_manual_check),txt,code_of_ethics_or_conduct (needs_manual_check),not_started
DOC-0008,Selamat Sempurna,Indonesia,Automotive,Ethics_Codes_txt_files/Automotive_Indonesia_Selamat Sempurna_2025.txt,unknown (needs_manual_check),txt,code_of_ethics_or_conduct (needs_manual_check),not_started
DOC-0009,Honda Motor,Japan,Automotive,Ethics_Codes_txt_files/Automotive_Japan_Honda Motor_2023.txt,unknown (needs_manual_check),txt,code_of_ethics_or_conduct (needs_manual_check),not_started
DOC-0010,Mitsubishi Motors,Japan,Automotive,Ethics_Codes_txt_files/Automotive_Japan_Mitsubishi Motors_2025.txt,unknown (needs_manual_check),txt,code_of_ethics_or_conduct (needs_manual_check),not_started
DOC-0011,Nissan Motor,Japan,Automotive,Ethics_Codes_txt_files/Automotive_Japan_Nissan Motor_2026.txt,unknown (needs_manual_check),txt,code_of_ethics_or_conduct (needs_manual_check),not_started
DOC-0012,Suzuki Motor,Japan,Automotive,Ethics_Codes_txt_files/Automotive_Japan_Suzuki Motor_2016.txt,unknown (needs_manual_check),txt,code_of_ethics_or_conduct (needs_manual_check),not_started
DOC-0013,Toyota Motor,Japan,Automotive,Ethics_Codes_txt_files/Automotive_Japan_Toyota Motor_2023.txt,unknown (needs_manual_check),txt,code_of_ethics_or_conduct (needs_manual_check),not_started
DOC-0014,Hankook & Company,Korea,Automotive,Ethics_Codes_txt_files/Automotive_Korea_Hankook & Company_2024.txt,unknown (needs_manual_check),txt,code_of_ethics_or_conduct (needs_manual_check),not_started
DOC-0015,Hyundai Mobis,Korea,Automotive,Ethics_Codes_txt_files/Automotive_Korea_Hyundai Mobis_2024.txt,unknown (needs_manual_check),txt,code_of_ethics_or_conduct (needs_manual_check),not_started
DOC-0016,Hyundai Motor Company,Korea,Automotive,Ethics_Codes_txt_files/Automotive_Korea_Hyundai Motor Company_2020.txt,unknown (needs_manual_check),txt,code_of_ethics_or_conduct (needs_manual_check),not_started
DOC-0017,Kia,Korea,Automotive,Ethics_Codes_txt_files/Automotive_Korea_Kia_2024.txt,unknown (needs_manual_check),txt,code_of_ethics_or_conduct (needs_manual_check),not_started
DOC-0018,Lautan Luas,Indonesia,Chemicals,Ethics_Codes_txt_files/Chemicals_Indonesia_Lautan Luas_2023.txt,unknown (needs_manual_check),txt,code_of_ethics_or_conduct (needs_manual_check),not_started
