Страна,Отрасль,Компания,Год,document_id,Principle_code,Principle_text,Presence,Evidence (Text),Date of analysis,Analysis model
Indonesia,Agriculture,Astra Agro Lestari,2023,agriculture_indonesia_astra_agro_lestari_2023,COMP01,Не пытаться узнать конфиденциальную информацию конкурента,implicit_scattered,The Company ... may gather information about competitors as long as it does not violate prevailing laws and regulations.,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,Astra Agro Lestari,2023,agriculture_indonesia_astra_agro_lestari_2023,COMP02,Не переманивать ключевых работников конкурента с целью ослабить его позиции,absent,,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,Astra Agro Lestari,2023,agriculture_indonesia_astra_agro_lestari_2023,COMP03,"Не вступать в сговор с конкурентами о ценах, объемах или разделе рынка",explicit_section,... strictly prohibited from engaging in any form of cooperation with competitors that may ... result in monopolistic practices.,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,Astra Agro Lestari,2023,agriculture_indonesia_astra_agro_lestari_2023,COMP04,Сотрудничать с конкурентами с целью повышения эффективности рынка,absent,,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,Astra Agro Lestari,2023,agriculture_indonesia_astra_agro_lestari_2023,COMP05,Поддерживать уважение к конкурентам и подчеркивать важность деятельности,brief_mention,"... uphold fair, healthy, and transparent competition ...",04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,Astra Agro Lestari,2023,agriculture_indonesia_astra_agro_lestari_2023,COMP06,Не пытаться ослабить конкурентов путем ограничения их доступа к каким-либо ресурсам,absent,,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,Astra Agro Lestari,2023,agriculture_indonesia_astra_agro_lestari_2023,COMP07,Соблюдать права интеллектуальные собственности конкурентов,absent,,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,Astra Agro Lestari,2023,agriculture_indonesia_astra_agro_lestari_2023,COMP08,Не распространять ложную и порочащую информацию о конкурентах,explicit_section,"... strictly prohibited from disparaging competitors in any marketing, promotional, or advertising endeavors.",04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,Astra Agro Lestari,2023,agriculture_indonesia_astra_agro_lestari_2023,COMP09,Предостерегать конкурентов от нарушения данных принципов с их стороны.,absent,,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,Astra Agro Lestari,2023,agriculture_indonesia_astra_agro_lestari_2023,COMP10,Сообщать регулятору о замеченных неэтичных действиях конкурентов.,absent,,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,Astra Agro Lestari,2023,agriculture_indonesia_astra_agro_lestari_2023,CtoI01,Равные права всех акционеров и кредиторов на доступ к информации,explicit_section,... apply the principle of balanced treatment in providing necessary information.,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,Astra Agro Lestari,2023,agriculture_indonesia_astra_agro_lestari_2023,CtoI02,"Организация собраний акционеров, максимально облегчающая доступ каждого акционера к участию в собрании",absent,,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,Astra Agro Lestari,2023,agriculture_indonesia_astra_agro_lestari_2023,CtoI03,Максимально полное и своевременное раскрытие всей существенной информации для акционеров и кредиторов,explicit_section,"... provide actual, accurate, and prospective information.",04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,Astra Agro Lestari,2023,agriculture_indonesia_astra_agro_lestari_2023,CtoI04,Прозрачное проведение собраний и принятие решений компанией,brief_mention,"... implement the principles of Good Corporate Governance, namely Fairness, Transparency, Accountability, and Responsibility ...",04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,Astra Agro Lestari,2023,agriculture_indonesia_astra_agro_lestari_2023,CtoI05,Предотвращение инсайдерской торговли,explicit_section,... shall avoid conflicts of interest ... including but not limited to insider trading ...,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,Astra Agro Lestari,2023,agriculture_indonesia_astra_agro_lestari_2023,CtoI06,Обоснованная дивидендная политика,absent,,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,Astra Agro Lestari,2023,agriculture_indonesia_astra_agro_lestari_2023,CtoI07,Защита прав миноритарных акционеров,brief_mention,... effectively implement the code of conduct to increase shareholder value and protect the rights of other stakeholders.,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,Astra Agro Lestari,2023,agriculture_indonesia_astra_agro_lestari_2023,CtoI08,Справедливое отношение к кредиторам компании при погашении долга,absent,,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,Astra Agro Lestari,2023,agriculture_indonesia_astra_agro_lestari_2023,CtoS01,Выбор поставщиков по критерию эффективности,explicit_section,"Business partner selection shall be based on professionalism, alignment of values, and QCDSM (Quality, Cost, Delivery, Safety, Morale).",04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,Astra Agro Lestari,2023,agriculture_indonesia_astra_agro_lestari_2023,CtoS02,Равный доступ всех поставщиков к информации и в участию в тендерах,explicit_section,The Company conducts an open tender in a transparent and accountable manner ...,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,Astra Agro Lestari,2023,agriculture_indonesia_astra_agro_lestari_2023,CtoS03,Отказ от злоупотребления рыночной властью по отношению к поставщикам,brief_mention,... strictly prohibited from giving or receiving any form of compensation from business partners ...,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,Astra Agro Lestari,2023,agriculture_indonesia_astra_agro_lestari_2023,CtoS04,Преимущества или квоты для социально ориентированных поставщиков и малого бизнеса при проведении тендеров,explicit_section,The Company actively seeks to empower small and medium business partners.,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,Astra Agro Lestari,2023,agriculture_indonesia_astra_agro_lestari_2023,CtoS05,"Своевременное информирование поставщиков о всех изменениях на стороне заказчика, которые влияют на исполнение текущих договоров и участие в будущих тендерах",absent,,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,Astra Agro Lestari,2023,agriculture_indonesia_astra_agro_lestari_2023,CtoS06,Ориентация на долгосрочное устойчивое партнерство с поставщиками,explicit_section,... prioritize establishing partnerships based on equality and mutual trust ...,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,Astra Agro Lestari,2023,agriculture_indonesia_astra_agro_lestari_2023,CtoS07,"Отказ от манипулирования условиями тендера (технические задания, сроки, требования к поставщикам и т. п.) с целью создания преимуществ для поставщиков, которые не являются объективно более эффективными",absent,,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,Astra Agro Lestari,2023,agriculture_indonesia_astra_agro_lestari_2023,HOT01,Равный доступ всех работников к горячей линии и равные права на справедливое рассмотрение заявления,absent,,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,Astra Agro Lestari,2023,agriculture_indonesia_astra_agro_lestari_2023,HOT02,Сохранение конфиденциальности собранных материалов в ходе расследования,absent,,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,Astra Agro Lestari,2023,agriculture_indonesia_astra_agro_lestari_2023,HOT03,Запрет преследования заявителей,absent,,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,Astra Agro Lestari,2023,agriculture_indonesia_astra_agro_lestari_2023,HOT04,Гарантия анонимности заявителя и свидетелей,absent,,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,Astra Agro Lestari,2023,agriculture_indonesia_astra_agro_lestari_2023,HOT05,"Принцип нулевой терпимости (обязательное реагирование, расследование и принятие мер по любому нарушению)",absent,,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,Astra Agro Lestari,2023,agriculture_indonesia_astra_agro_lestari_2023,HOT06,Обязанность сообщить на горячую линии о замеченном нарушении,absent,,04.04.2026,GPT 5.3-Codex
